store_code,branch_name,display_name,address
071,대전서구점,오늘은 오므라이스 대전서구점,대전광역시 서구 갈마로147번길 35 1층
072,평택점,오늘은 오므라이스 평택점,경기도 평택시 비전9길 12-12 1층 105호
073,의정부점,오늘은 오므라이스 의정부점,경기도 의정부시 호국로 1340 미리온타워 1층
074,동탄점,오늘은 오므라이스 동탄점,경기도 화성시 동탄순환대로 823 1층
075,충주점,오늘은 오므라이스 충주점,충청북도 충주시 봉방9길 4
076,동두천점,오늘은 오므라이스 동두천점,경기도 동두천시 평화로 2379-1 1층
077,안성점,오늘은 오므라이스 안성점,경기도 안성시 장기로69번길 9-4
078,진해자은점,오늘은 오므라이스 진해자은점,경상남도 창원시 진해구 냉천남로 3-10 1층 109호
079,이천점,오늘은 오므라이스 이천점,경기도 이천시 남천로61 1층
080,경남사천점,오늘은 오므라이스 경남사천점,경상남도 사천시 사천읍 수양로 46 1층
081,인천가정점,오늘은 오므라이스 인천가정점,인천광역시 서구 새오개로111번안길 6 1층 103호
082,제주애월점,오늘은 오므라이스 제주애월점,제주특별자치도 제주시 애월읍 하귀미수포길 4
083,경북구미점,오늘은 오므라이스 경북구미점,경상북도 구미시 상사서로 158-1 1층
084,김포구래점,오늘은 오므라이스 김포구래점,경기도 김포시 김포한강9로75번길 56,1층 112호
085,천안성정점,오늘은 오므라이스 천안성정점,충청남도 천안시 서북구 서부6길 5 101호
086,광주서구점,오늘은 오므라이스 광주서구점,광주광역시 서구 운천로 162번길 27 1층 101호
087,경북영천점,오늘은 오므라이스 경북영천점,경상북도 영천시 상록8길 30(야사동)
088,화성병점점,오늘은 오므라이스 화성병점점,경기도 화성시 병점3로 19-29 1층 101호
089,오산점,오늘은 오므라이스 오산점,경기도 오산시 궐동로7번길 8 102호
090,안동점,오늘은 오므라이스 안동점,경상북도 안동시 태화중앙로 123 1층
091,영주점,오늘은 오므라이스 영주점,경상북도 영주시 중앙로63번길 17 102호
092,전주효자점,오늘은 오므라이스 전주효자점,전북특별자치도 전주시 완산구 신봉4길 12, 102호(효자동1가)
093,부산사상점,오늘은 오므라이스 부산사상점,부산광역시 사상구 사상로 471-1(모라동)
094,충북혁신도시,오늘은 오므라이스 충북혁신도시,충청북도 음성군 맹동면 대하1길 4 104호
095,대전유성점,오늘은 오므라이스 대전유성점,대전광역시 유성구 계룡로32번길 42, 1층(구암동)
096,남원점,오늘은 오므라이스 남원점,전북특별자치도 남원시 큰들4길 33-7
097,예산점,오늘은 오므라이스 예산점,충청남도 예산군 예산읍 역전로 122
098,옥천점,오늘은 오므라이스 옥천점,충청북도 옥천군 옥천읍 삼양로 96
099,나주점,오늘은 오므라이스 나주점,전라남도 나주시 재신길 6-10 1층
100,충북음성점,오늘은 오므라이스 충북음성점,충청북도 음성군 대소면 대금로 484,나동
